id,title,year,genre,duration
600,Бабушка удава,1979,16,8
601,Бабушкин дом,1989,6,89
602,Бабы,1940,2,67
603,Бабы рязанские,1927,2,67
604,Бабье лето,1996,2,87
605,Бабье лето,1993,1,97
606,Бабье царство,1967,2,97
607,Багдадский вор,1978,16,99
608,Багдадский вор: Арабская фантазия,1940,16,101
609,Багдасар разводится с женой,1977,1,66
610,Багратион,1985,2,164
611,Багровые реки,2001,4,105
612,Багровые реки 2: Ангелы Апокалипсиса,2004,17,100
613,Багровый прилив,1995,11,115
615,Багси,1991,11,134
616,Багси Мэлоун,1976,16,93
617,Бадди,1997,16,79
618,Баджа Оклахома,1988,2,99
619,Баджи на пляже,1993,2,96
620,База,1998,11,93
621,База &quot;Клейтон,2003,2,98
622,Байка,1987,1,87
623,Байкеры,2000,6,96
624,Байкеры,2003,11,110
625,Байки из склепа,1996,6,147
626,Байки из склепа,1989,6,90
627,Байки из склепа. Том 10,1991,6,144
628,Байки из склепа. Том 6. Любовь до гроба,1996,6,78
629,Байки из склепа. Том 8. Ужас на лестнице,1994,6,72
630,Байки из склепа. Том 9,1996,6,98
631,Байки из склепа: Рыцарь демонов ночи,1995,6,91
632,Байки у костра,1996,6,83
633,Бак Роджерс в 25-м веке,1979,8,89
634,Баксы,2008,18,293
635,Бал,1983,3,115
636,Бал вампиров,1967,6,107
637,Бал монстров,2001,4,111
638,Бал на воде,1985,2,109
639,Бал недотеп,1991,1,97
640,Баламут,1978,1,90
641,Баланс силы,1996,11,89
642,Балбесы,1985,16,114
643,Балерина,1969,5,56
644,Балерина,1994,2,75
645,Балканкан,2005,13,89
646,Балканский мальчик,2004,2,107
647,Баллада о Грегорио Кортесе,1983,19,103
648,Баллада о Джеке и Роуз,2005,2,112
649,Баллада о доблестном рыцаре Айвенго,1983,13,92
650,Баллада о комиссаре,1967,2,70
651,Баллада о Кэйбл Хоге,1970,19,120
652,Баллада о маленькой Джо,1993,11,120
653,Баллада о печальном кафе,1991,11,99
654,Баллада о солдате,1959,2,89
655,Баллада о спорте,1979,5,90
656,Балласт,2008,2,96
657,Баллистика: Экс против Сивер,2002,11,91
658,Баловень судьбы,1988,3,122
659,Балтиморская пуля,1980,1,102
660,Балто,1995,16,79
661,Балто 2: в поисках волка,2001,16,79
662,Бальзак и портниха-китаяночка,2002,1,110
663,Бананы,1971,1,81
664,Банда батьки Кныша,1924,13,66
665,Банда Гриссомов,1971,11,126
666,Банда из Бостона,1995,11,100
667,Банда Келли,2003,11,109
668,Банда мотоциклистов,1994,11,80
669,Банда с Лавендер-Хилл,1951,11,81
670,"Банда, которая не могла стрелять прямо",1971,1,96
671,Бандини,1989,2,99
672,Бандит,1987,11,97
673,Бандит,1996,11,93
674,Бандит едет в глубинку,1994,1,86
675,Бандит и бандит,1994,1,87
676,Бандит: красавица и бандит,1994,1,87
677,Бандит: Серебряный ангел бандита,1994,1,87
678,Бандитки,1997,7,104
679,Бандитки,2006,11,93
680,Бандитские души,1995,11,90
681,Бандитский Петербург. Барон.,2000,4,104
682,Бандитский Петербург. Фильм 1: Барон. Часть 2,2000,4,157
683,Бандитский Петербург. Фильм 2: Адвокат,1996,4,104
684,Бандитский Петербург. Фильм 2: Адвокат. Часть 2,2000,4,104
685,Бандитский Петербург. Фильм 2: Адвокат. Часть 3,2000,4,104
686,Бандитский Петербург. Фильм 2: Адвокат. Часть 4,2000,4,104
687,Бандитский Петербург. Фильм 2: Адвокат. Часть 5,2000,4,104
688,Бандиты,2001,1,122
689,Бандиты времени,1981,16,116
690,Бандиты из Оргозоло,1961,2,292
691,Бандолеро!,1968,19,106
692,Банды Лос-Анджелеса: Волна насилия,1993,5,68
693,Банды Нью-Йорка,2002,4,160
694,Банзай,1983,1,99
695,"Банзай, режиссер!",2007,1,108
696,Банка смерти,1996,4,97
697,Банкир,1989,4,95
698,Банкир неудачник,1996,1,92
699,Банкрот,1996,11,97
700,Банный день,2008,5,29
701,Бар &quot;Гадкий Койот,2000,1,100
702,Барабан,1938,11,96
703,Барабаниада,1993,1,93
704,Барабанщик,2007,2,118
706,Барак,1999,2,111
708,Барбароса,1968,19,106
709,Барби и Щелкунчик,2001,16,79
710,Барби: Сказочная страна,2005,9,70
711,Барби: Сказочная страна. Волшебная Радуга,2007,9,74
712,Барбузы - секретные агенты,1964,1,108
713,Барды,1988,5,82
715,Барни и его маленькие неприятности,2001,1,79
716,Барокко,1976,4,104
717,Барри Линдон,1975,2,182
718,Барселона,1994,2,101
719,Барселона (карта),2007,2,90
720,Бартон Финк,1991,1,116
721,Бархан,1989,4,77
722,Барханов и его телохранитель,1996,1,116
723,Бархатные руки,1970,1,90
724,Бархатный сезон,1978,2,102
725,Барышня и хулиган,1918,2,50
726,Барышня-крестьянка,1995,3,112
727,Баскетбольная лихорадка,1996,1,86
728,Баския,1996,2,101
729,Бассейн,2001,6,89
730,Бассейн,2003,20,102
731,Бассейн,1969,4,99
732,Бастер,1988,2,93
733,Бастер и Чонси: озорные друзья,1998,16,49
734,Батаан,1943,15,113
735,Батальоны просят огня,1985,2,283
736,Батарейки не прилагаются,1987,8,106
737,Баттерфилд 8,1960,3,103
738,Батя,1995,3,110
739,Баунти,1984,11,130
740,Баффало 66,1997,2,104
741,Баффало Билл,1944,19,90
742,Баффи - истребительница вампиров,1992,6,85
743,Баффи - истребительница вампиров,1997,6,6480
744,Башни-близнецы,2006,2,129
745,Баязет,2003,2,528
746,Беатриче см. также страсти по Беатрис,1987,2,128
747,Бег,1970,2,196
748,Бег до границы,1997,11,90
749,Бег за драконом,1996,4,90
750,Бег за мечтой: история Гэйл Диверс,1996,3,97
751,Бег иноходца,1968,2,81
752,Бег от смерти,1997,11,84
753,Бегать на воле,1994,16,90
754,Беги,1990,11,89
755,Беги без оглядки,2006,11,122
756,"Беги, Лола, беги",1998,11,81
757,Беглец,1993,11,130
758,Беглец,1947,2,103
759,Беглецы,1986,1,86
760,Беглецы,1996,11,93
761,Беглецы компьютерных сетей,1995,8,87
762,Беглый огонь,1992,11,95
763,Беглянки,2007,1,90
764,Бегство,1995,2,109
765,Бегство к Афине,1979,11,124
766,Бегство мистера Мак-Кинли,1975,8,161
767,Бегство от правосудия,1993,11,91
768,Бегство с Планеты обезьян,1971,8,97
769,Бегствующий остров,1929,2,77
770,Бегущая по волнам,1967,2,89
771,Бегущий за ветром,2007,2,122
772,Бегущий по времени,1992,8,90
773,Бегущий по лезвию бритвы,1982,2,117
774,Бегущий по льду,1992,11,114
775,Бегущий человек,1987,8,100
776,Беда на уме,1985,8,111
777,Бедная корова,1967,2,100
778,Бедная маленькая богатая девочка,1987,3,264
779,Бедная Саша,1997,3,95
780,Бедные родственники,2005,1,103
781,"Бедный, бедный Павел",2003,2,100
782,Бежим без оглядки,1986,1,106
783,Без алиби,1999,11,93
784,Без бретелек,1989,3,97
785,Без вести пропавшие,1984,11,100
786,Без вести пропавшие 2: начало,1985,11,95
787,Без видимой причины,1971,4,97
